sample,PeakDetection,FFT,,
100,176.9512275,87.64160156,FFT,
101,174.2891235,85.84570313,FFT,
102,171.3190324,83.015625,FFT,
103,181.0071568,83.015625,FFT,
200,70.66223005,69.88085938,both,
201,71.56836967,69.0078125,both,
202,72.45643427,70.82519531,PeakDetection,
203,70.96681286,70.8984375,PeakDetection,
300,69.73011104,68.93652344,both,
301,71.35163536,71.04492188,both,
302,72.16958719,71.84375,PeakDetection,
303,72.40867444,72.71386719,PeakDetection,
400,57.72680311,56.71875,FFT,
401,55.76774363,53.82714844,both,
402,54.63496211,53.8828125,both,
403,56.01262493,55.7734375,both,
500,73.65081018,72.86425781,PeakDetection,
501,73.79570524,74.6796875,PeakDetection,
502,75.52174761,73.734375,PeakDetection,
503,76.10793776,75.46875,PeakDetection,
600,62.5152017,61.38183594,PeakDetection,
601,63.48117266,64.21484375,PeakDetection,
602,63.89941061,63.3359375,both,
603,64.74140978,64.1484375,both,
700,61.06452885,59.5546875,PeakDetection,
701,61.75761537,61.4453125,PeakDetection,
702,62.31706834,62.32617188,PeakDetection,
703,65.97116645,66.171875,PeakDetection,
800,71.89497747,72.86425781,PeakDetection,
801,75.76805166,76.5703125,PeakDetection,
802,70.48822637,69.953125,both,
803,71.27607766,69.88085938,PeakDetection,
900,74.33071683,74.72460938,PeakDetection,
901,76.45514503,77.734375,PeakDetection,
902,72.08047459,70.1484375,PeakDetection,
903,72.63122552,71.296875,PeakDetection,
1000,79.67675781,84.10695187,PeakDetection,
1001,90.23632813,86.09479647,PeakDetection,
1002,83.09179688,84.23816319,PeakDetection,
1003,82.55664063,82.89067421,PeakDetection,
1100,65.14453125,66.73125483,both,
1101,68.25878906,70.11611285,both,
1102,70.89257813,70.54611777,both,
1103,70.07714844,72.55932424,PeakDetection,
1200,67.81054688,67.63101535,PeakDetection,
1201,67.19726563,67.90668901,both,
1202,70.93261719,70.84101456,both,
1203,68.9765625,70.61636352,both,
1300,67.63101535,67.81054688,both,
1301,67.90668901,67.19726563,PeakDetection,
1302,70.84101456,70.93261719,both,
1303,70.61636352,68.9765625,PeakDetection,
1400,86.08249382,86.82714844,PeakDetection,
1401,86.9015597,85.87109375,PeakDetection,
1402,86.16793893,85.59375,both,
1403,85.94504792,85.95800781,both,
1500,91.05611966,90.8984375,both,
1501,85.06989074,87.00097656,PeakDetection,
1502,85.40235538,84.390625,PeakDetection,
1503,87.76962168,89.31152344,both,
1600,59.79898594,60.72363281,PeakDetection,
1601,58.68604048,59.09375,PeakDetection,
1602,58.20271845,57.7734375,both,
1603,59.37798607,59.51757813,both,
1700,117.9080239,116.0371094,PeakDetection,Remove the first 30 frames due to data corruption
1701,138.1143964,119.140625,PeakDetection,Remove the first 30 frames due to data corruption
1702,140.6938035,139.15625,PeakDetection,Remove the first 30 frames due to data corruption
1703,62.25914732,62.96875,both,Remove the first 30 frames due to data corruption
1800,80.59190031,82.59277344,PeakDetection,Remove the first 30 frames due to data corruption
1801,78.91928193,77.5,both,Remove the first 30 frames due to data corruption
1802,78.29215841,77.67773438,both,Remove the first 30 frames due to data corruption
1803,80.73776695,81.703125,both,Remove the first 30 frames due to data corruption
1900,143.6697152,134.234375,both,Remove the first 30 frames due to data corruption
1901,141.3415032,138.9609375,PeakDetection,Remove the first 30 frames due to data corruption
1902,71.67391741,71.04492188,PeakDetection,Remove the first 30 frames due to data corruption
1903,70.87311435,71.91796875,PeakDetection,Remove the first 30 frames due to data corruption
2000,146.5135699,147.46875,PeakDetection,Remove the first 30 frames due to data corruption
2001,76.0576017,76.5703125,PeakDetection,Remove the first 30 frames due to data corruption
2002,78.58799064,78.54199219,both,Remove the first 30 frames due to data corruption
2003,76.34069401,75.625,both,Remove the first 30 frames due to data corruption
2100,68.05456453,86.96875,both,Remove the first 30 frames due to data corruption
2101,85.80043527,85.078125,PeakDetection,Remove the first 30 frames due to data corruption
2102,92.08914754,92.54492188,both,Remove the first 30 frames due to data corruption
2103,90.94629677,89.13476563,PeakDetection,Remove the first 30 frames due to data corruption
2200,120.9841145,121,both,Remove the first 30 frames due to data corruption
2201,124.2275056,123.9638672,both,Remove the first 30 frames due to data corruption
2202,132.8051914,125.8564453,PeakDetection,Remove the first 30 frames due to data corruption
2203,145.3391429,133.5644531,PeakDetection,Remove the first 30 frames due to data corruption
2300,83.40152511,82.15722656,both,Remove the first 30 frames due to data corruption
2301,87.43239344,88.00488281,PeakDetection,Remove the first 30 frames due to data corruption
2302,85.84200793,84.99023438,both,Remove the first 30 frames due to data corruption
2303,86.13006746,85.93457031,both,Remove the first 30 frames due to data corruption
2400,96.53959714,93.5859375,PeakDetection,Remove the first 30 frames due to data corruption
2401,99.31591,89.71191406,PeakDetection,Remove the first 30 frames due to data corruption
2402,92.78836666,91.97949219,both,Remove the first 30 frames due to data corruption
2403,92.02794646,93.5859375,PeakDetection,Remove the first 30 frames due to data corruption
2500,90.45144494,87.71191406,both,Remove the first 30 frames due to data corruption
2501,92.87340697,93.40625,PeakDetection,Remove the first 30 frames due to data corruption
2502,90.77290837,90.09375,both,Remove the first 30 frames due to data corruption
2503,91.71746822,92.15625,both,Remove the first 30 frames due to data corruption
2600,88.50463628,87.53417969,PeakDetection,Remove the first 30 frames due to data corruption
